,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2018-01-01 00:00:00+01:00,7398.0,21275.0,0.0,31442.0,25035.0,4271.0,0.0,0.0,38.0,8918.0,3885.0,1451.0,0.0,9516.0,1421.0,496.0,42805.0,1707.0,5051.0,51787.0
2019-01-01 00:00:00+01:00,7782.0,21205.0,0.0,31745.0,25293.0,4356.0,0.0,0.0,42.0,9422.0,4008.0,1309.0,0.0,9516.0,1235.0,445.0,45435.0,1707.0,6393.0,52946.0
